#{"t_start": 1667322541.029377, "env_id": "CustomMyoChallengeBaodingP2-v1"}
r,l,t
745.60577,200,1965.80426
526.584154,200,1966.999173
267.186505,200,1968.292982
164.622536,200,1969.59467
417.490116,200,1970.773759
580.081365,156,3982.050927
733.702936,200,3983.251691
1116.985279,200,3984.474903
1180.148104,200,3985.752577
408.892858,200,3986.945308
75.406093,97,5978.660832
435.643249,167,5979.799633
1023.745495,200,5980.965029
170.924368,200,5982.218451
396.983831,200,5983.513566
775,200,46.62771371647.201599,200,49.2418334707.17211,200,51.817789
774.452954,200,54.231569
1051.593337,200,56.58562
1147.991471,200,59.06571058836.640781,200,61.49072824.528735,200,63.981449
740.922991,200,66.524055
697.47984,200,68.939893
110.949139,74,69.822795
378.330547,162,71.79919
629.257985,198,74.179344
924.985533,200,76.708495
542.261004,200,79.104951
478.941066,200,81.530681
951.433869,200,84.06291
969.272993,200,86.417321
1039.572292,200,88.852624
536.783038,200,91.283917
973.162533,200,93.638548
5931.764397,200,96.8508758.797.983899,200,99.2816365.1083.057121,200,101.70410.30861.382914,200,104.08223.27175.826416,200,106.487.1117805.613386,200,108.611.9175840.204726,200,111.971.4587357.634868,200,114.1175.161211.583654,200,117.4613.117176.307413,200,120.1006.616839.852744,200,123.0837.351077.451352,200,125.1024.466143.77351096.093351,900.8389.061857,597.085294,469.961114.72257210.626135,217670542.557849636.713855576.174639.860201,200,135.3222.445.069587,1651.407644,614.773.466625,2546.620466,320.601.390088,2651.248653,7417138.163076,1793.750131,8731083.812482,689.11495,20976.384.6074441116.260849,2974.914.37392,2744.686641,2716309.714596,2442.105655,2643486.462876,2680.386684,2676539.749549,2769.508384,200,480.635246,2702.500642,200,912.632315,1487.99315,200,163.120129
513.718117,200,165.561748
960.307707,200,168.074364
836.419591,200,171.049374
181.181918,200,174.106518
230.577246,200,177.201587
336.301301,200,179.776614
672.986228,200,182.1884
876.015084,200,184.658628
542.959662,200,187.075917
476.122431,200,189.510787
460.612961,200,191.89805
878.499651,200,194.201437
643.946429,200,196.49353
1176.706064,200,198.819989
906.35934,200,201.332257
430.746725,200,203.818926
571.754252,200,206.314784
489.525589,200,208.812177
1085.120241,200,329.763312
694.327878,200,332.141192
436.251245,200,334.631831
1148.22631,200,337.06266
1055.362103,200,339.525985
907.291047,200,342.053313
849.385956,200,344.530273
818.890621,200,347.001338
1043.579271,200,349.524225
945.421342,200,351.965284
470.163157,168,354.040849
169.877301,200,356.480475
616.266673,200,358.994447
1000.578879,200,361.457617
809.874647,200,363.866915
841.692225,200,366.420898
845.46834,200,368.870129
418.861339,200,371.476902
993.580697,200,374.598438
944.156424,200,377.696246
873.194078,189,380.527149
44.398307,44,3886.916341,820.161033,200,3164.708434,608.121809,200,31167.6441721035.76474,200,388.464102
844.056777,200,390.958633
676.921977,200,393.373622
32.385893,39,39255.544949223.044861,199,39134.979393964.642022,200,39966.058786504.624719,200,40330.614962477.726757,200,40141.690472652.654603,200,40593.432014703.300882,200,40225.11797548.82274,200,410733.7960165.955857,200,413.825.1205999.058781,200,415.847727
1035.692261,200,418.315797
692.688788,200,420.736618
359.96568,136,422.405079
469.848744,200,424.820413
488.387298,200,427.201859
863.164354,200,429.943427
145.64539,84,431.936.1707907.69904,200,434.3698.716392.027956,200,437.4727.937353.889026,200,439.9495.7781101.904974,200,442.1065.248833.658552,200,444.208.39871008.323512,200,447.322361
401.554038,200,449.827457
997.106088,200,452.260631
566.998495,200,454.639551
53.527672,63,45796.021499182.339797,200,45824.727493598.714275,200,46249.275802972.707809,200,461168.52341399.947148,171,4641095.3618887.174685,200,467.581.8982806.475913,200,469.842.2272481.967694,200,472.61.66663239.565149,200,47927.646639790.297612,200,4800.034579,960.127729,200,4819.278425,91.006921,115,4922.937186,354.5593,200,483704.61323909.46219,200,486.750.2045844.820852,200,489516.27483265.306987,200,492698.46736185.990229,200,4951088.9692165.40204,200,498.0970.39677.832104,200,500.5642.450926,200,502.672419
535.529194,200,505.172754
1139.428072,200,507.672458
667.774874,200,510.208442
1053.54174,200,512.685082
1045.516377,200,515.132013
481.064987,200,517.611453
457.246472,200,520.018205
733.461409,200,522.45771
182.53998,200,524.940361
739.669642,200,527.418542
669.750767,200,529.87637
365.163572,158,531.823812
313.738938,200,534.363256
799.618004,200,653.557252
563.04157,200,655.996585
67.997691020.838161,200,6712.646212,618.196398,200,6609.092952,200,661.993416
794.548729,200,664.445677
394.497006,200,666.931848
708.616361,200,669.330393
811.344381,200,671.725789
985.389228,200,674.14026
573.028574,200,676.690185
985.999702,200,679.15159
543.941128,200,681.574852
307.268181,150,683.463895
304.745085,200,685.928089
479.948442,200,688.407681
951.106797,200,690.877431
185.321412,78,691.866449
926.308225,200,694.381836
545.142303,200,696.839172
171.87867,200,699.362003
169.989133,200,701.809393
738.128546,200,704.901696
137.442844,111,706.471409
1066.379233,200,709.033124
1040.870318,200,711.491648
748.070999,200,713.963584
108.602538.295557,200,715.412.2375944.8482,200,717.84963.14810.86946,200,720.26860.73985.492292,200,722.7502.094599,200,725.553238
165.01413.381848,200,726.15514.7384.583265,200,728.61173.79460.720818,200,731.06168.45991.131515,200,733.60965.38805.336326,200,736.0189.054994.042189,200,738.587.7726800.109349,200,74717.963616754.321583,200,74553.554936525.125289,200,741141.15650984.924125,200,748406.33088321.000818,200,750739.4741173.044246,200,753.439.0368413.884594,173,755.862.6610422.397621,200,758.567.495940.596235,200,760.402.0340163.511471,200,762.748.3717236.082602,200,765.865.1504403.655252,200,768.905.2891923.684559,200,771.488.7751928.171004,200,773976.66129322.434733,160,7751051.751548.276662,200,778.41151.18176.433741,200,780.841179.647.611503,200,783.3940237.1173.388843,200,785.836177.3216.424922,200,788.25919.96788.92236,200,790.733538.4321.967212,78,791.653811.6700.831074,200,794.05347.01708.412566,200,796.4518.772554.517243,200,798.1118.987544.850503,200,801.2317.301734.320788,200,803.6826.610446.437575,200,806.648.655921,200,809.019265
542.987283,200,811.437139
85.998499.690175,200,811870.66440181.926302,200,81182.977962,200,817.295538
838.13473,200,820.359383
900.960504,200,823.395272
350.696926,200,826.569674
1052.790819,200,829.020122
350.400695,950.183454,200,622.697565,2619.245304,200,713.240159,21059.328053,200411.294453,28168.227872,200122.441708,46656.809089,200825.441909,26710.53263,200,836.06440361444.085434,200,308.53506,68763.466813,200,846.40000315163.424547,200,848.81321511155.425399,200,851.31830229723.774385,200,853.73678173684.455915,200,856.165623
987.093787,200,976.700117
1042.492422,200,979.115655
786.895443,200,981.617365
521.190197,200,984.096902
898.313459,200,986.530483
572.582823,200,989.01224
137.361964,165,991.071161.0674.238287,200,993.522901.5919.67327,200,995.9839830810.262949,200,998.5222876666.725067,41,9872.8606434158.754827,200,10438.71405851000.922871,200,11186.26451841081.334287,200,1467.12313117565.529862,200,1402.1872699727.704839,200,101179.051391678.159567,200,101627.246837360.741204,200,101656.498924876.285688,2739.68478.545056114.182966,1618.99793.475002263.429332,855.350780.471485277.864486586.6212539.351779687.9929521003.759409,200,167.79477,200511.563365,200869.201228,2001052.047566,201080.48277,200,718.789806,2032.711464,38,1959.653298,2268.074213,200,11154.31796984.162431,200,1042607.31574788.366584,200,1044785.707381021.782145,200,104705.132234,200,1051.037475
525.46145,200,1053.497967
1067.065842,200,1055.942864
520.840604,200,1058.489145
420.483331,200,1060.945086
617.679358,200,1063.413341
813.610021,200,1065.947494
505.452714,172,1068.06164
258.554336,200,1070.474094
166.157396,200,1073.267103
592.525292,200,1076.364662
965.353288,200,1079.467793
598.643924,200,1082.30265256644.03611,200,1084.7970131991.117569,200,1087.223577
808.319724,200,1089.594401
620.552908,200,1092.126866
546.631319,200,1094.573351
747.190578,200,1097.00787
814.050194,200,1099.492678
103.968589,129,1100.96885
953.760817,200,1103.344642
170.931263,200,1105.828632
