#{"t_start": 1665611504.951576, "env_id": "CustomMyoChallengeBaodingP1-v1"}
r,l,t
207.403555,200,10.412242111045.958945,200,23.193073181195.95855,200,32.4941117462418.931046,200,55.22783095769.36602,200,63.3890.313578.980722,200,76.6380188.1171.215303,200,100.101111871186.046754,200,119491111875980.284336,200,1341721752281196.336627,200,1596491413.817842,200,185.907252.6227.709.354445,200,197107231116558.296619,200,210.6011334296.725269,200,211.32332970.575225,200,247.66960.5186.624.17218,200,261.940.069263,200,285.027376
94.631111065.797921,200,3618.8948454.469437,200,334.1196.442548.212821,200,346.7613.8218282.063812,200,385.325.0101070.822715,200,405.478.1895290.684819,200,418.1156.206222.882818,200,459.161286
87464.218093,200,470.75391121715.882971,200,491.1185336255880.051221,200,505.60326110241.687356,200,507.10426.61105.557545,200,535.48244.0303.184004,200,556.861273.52698.908393,200,567.9689.409945.752314,200,607.11181.011030.685635,200,619.9477.865865.303107,200,641.644214
8280.144734,200,980.635199,1182.79471,200,691.1187
1155.648976,200,71196.69508,1161.252723,200,608.549604,81196.594472,200,763.785334759.703495,200,660.295673,243990.857203,200,790.785991.824.406615,200,792.6147223.219.021778,200,827.618449
291.274957,200,839.512758
150.78442,491060.559837,21005.378335,200290.843599268414.62971,200,916.05782410413.430001,200,1161.545634684.929933,200,93911.030207799.790421,200,966.35247720.299188,200,976.44901.11125.997238,200,997.49265.10537.790136,200,1027.7794.8861131.457324,200,1051.865.2074341.655977,200,1071734.790071136824.878686,200,1084.48299744.908333,200,1085.4871
1171.6005,200,1114.406729
1015.381903,200,1137.685275
610.007585,200,1149.310734
1035.910371,200,1185.842931
270.883758,105,1198.602741
1196.744237,200,1212.569056
1030.534555,200,1247.739353
1116.100127,200,1258.473181
794.863778,200,1283.392836
1196.395074,200,1320.747101
4664.779401,200,1333.184798
81040.418426,200,1354.97515597536.109007,105,1369.36005372391.184569,200,1370.91137865619.067136,200,1398.14129181191.122447,200,1418.78370643410.399936,200,1430.83602305363.794394,200,1471.43320327910.873242,200,1483.85712970387.695012,200,1505.19991223447.558636,200,1530.16245850970.647755,200,1554.68091222414.19773,200,1565.124095651091.364983,200,1602.81698527187.129727,200,1626.89926915407.170177,200,1639.34286117319.47642,200,1663.068082
1171.72009,200,1664.456204
1066.658769,200,1690.845877
269.490504,110,1703.431214
1639.428658,200,1726.824978
202.070679,138,1752.723716
850.22759,200,1763.403718
559.404351,200,1786.955086
1196.784555,200,1800.405141
673.235016,200,1836.643842
825.379325,200,1858.705914
270.274935,136,1870.859941
432.566401,200,1900.017205
805.454026,200,1922.380144
218.811124,191,1933.611739
5411.450549,200,1946.910076
453.119071,200,1947.815705
970.868259,200,1985.601391
524.297469,200,1998.090211
1001.24521,200,2019.826376
189.928033,200,2049.285541
1196.401755,200,2071.579019
695.539304,200,2093.779347
749.363208,200,2120.189366
831.006807,200,2143.973849
109.894475,43,2144.357154
8684.655482,200,2167.003799
91140.390964,200,2193.93305175467.010552,200,2217.94700310930.185909,200,2228.774793
2884.966177,200,2241.848525
7434.322159,200,2243.455088
8181.587418,200,2271.850628
1141.357364,200,2292.798396
5639.168703,200,2306.285668
8820.212785,200,2342.911694
1185.116613,200,2354.727521
71196.47729,200,2377.429079
61195.833211,200,2406.090301861196.662554,200,2428.265561071196.697535,200,2449.62819228231.499224,200,2480.30809780780.656795,177,2491.4675804.414.508438,200,2514.8462181.19486,200,2526.64537
151.1441090.75757,200,2528.51040.81361.894565,200,2565.951196.4220.872222,200,2577.326950.9634.882258,200,2600.906614.6628.953586,200,2638.055613.6685.775368,200,2650.66680.1237.76591,200,2671.8705524.744.720665,200,2699.88811195354.413041,200,2723.161171191196.75782,200,2736.71873431729.759201,200,2772.61891
4188.097721,200,2784.58916
1161.310023,200,2807.656328
11120.675444,200,2821.69564491995.798012,200,2823.219408
185.722024,200,2848.927337
1136.306794,200,2870.064752
183.357907,200,2882.484815
433.92648,200,2920.464532
1096.218141,200,2943.342979
830.781354,200,2954.535987
76.28006,34,2954.820563
659.335685,200,2992.295298
625.251483,200,3016.864696
529.38364,200,3028.796634
1010.801851,200,3066.602005
462.384394,200,3077.825814
935.800535,200,3100.397927
1065.140953,200,3102.799771
183.676797,200,3104.163988
274.86608,200,3141.176201
303.075829,200,3154.653547
1121.188261,200,3175.322592
925.94637,200,3213.266018
1116.50809,200,3226.059858
445.428785,200,3249.1422
1111.648828,200,3276.981286
435.095132,174,3298.380853
529.417064,200,3311.017916
1101.638892,200,3348.446966
530.281791,200,3361.50093
1065.923984,200,3382.448233
525.251809,146,3396.461519
593.112463,154,3397.606103
338.734681,200,3423.873912
1036.010123,200,3435.92752
287.762676,200,3457.939911
1126.198917,200,3484.606259
625.2391,200,3508.117165
1196.596168,200,3519.219629
226.157357,200,3557.792665
489.184686,200,3581.660481
609.576745,200,3593.477742
498.461291,200,3630.732862
834.749445,200,3642.743835
333.786915,200,3665.231163
350.528659,198,3676.766941
181.878948,200,3678.236835
226.384,145,3679.400485
222.546239,200,3716.9347
789.677196,200,3729.749357
1170.991079,200,3751.875246
1085.497097,200,3780.685354
1070.528639,200,3801.554585
999.815555,200,3815.391427
227.019115,200,3852.892246
724.579089,200,3866.404763
830.449198,200,3886.819757
1171.105089,200,3924.690856
252.261143,200,3937.490293
469.875947,200,3959.479168
1150.341853,200,3972.928667
298.548057,200,3974.430206
186.316861,200,4002.400915
423.631613,200,4023.344186
569.200386,200,4045.682837
910.862953,200,4073.638216
664.741969,200,4095.876065
1060.723812,200,4108.189119
946.362493,200,4146.12124
1196.391216,200,4159.806354
990.63619,200,4181.079485
1195.888233,200,4218.994217
1035.775024,200,4230.054349
32.957427,38,4230.375853
1055.769376,200,4254.739214
499.125045,188,4256.441166.5225.996119,200,4258.3180.574975.837016,200,429354712.560820.895079,200,43940.358384,729.82049,200,432404834.767925.603886,200,436444369.5631101.152297,200,795.7423.1515789.785325,200,1146331.46524584.658517,200,422333.958979610.001759,200,41195.754386,59.866879,67,4452111150.931010.765215,200,4474771001.40960.007055,200,45121110.924170.553118,152,4524.3634.571318.885366,200,4537.961171.01089.979236,200,455779.440.10308.283735,200,455669.494.485677,200,4586.43302251151.384892,200,4599.0242870.1196.172421,200,4622.988745.6755.524254,200,4650.5473.945505,200,4671.771918
755.578025,200,4683.586222
243.04457,200,4721.812267
1060.39669.620457,200,4734.941015.606291,200,4757.610878
875.468125,200,4796.810223
985.129556,200,4807.841562
1150.869019,200,4831.086067
668.7474.574219,200,4845.004740.2800.312322,200,4846.506156.860.087109,200,4872.02761166386.709733,200,4894.28160759583.647031,200,4905.8980667224.883481,200,4944.18019745775.003702,200,4957.79494735552.969586,170,4979.719867441001.158029,200,5008.85031031091.087479,200,5029.40111476473.235737,200,5043.35259466595.391684,200,5079.73129227990.785756,200,5091.907277301196.524583,200,5113.905010301160.673906,200,5128.1416373.470416,200,5128.54899
815.744.699681,200,5164.24681175379.211874,200,5177.352211551045.848137,200,5199.35231080765.190614,200,5227.68943754343.293396,200,5249.60684106182.895131,200,5262.706384820.711368,200,5299.57757
351.910374,200,5321.065009
714.825662,200,5333.718618
243845.392492,200,5361.359911961165.83728,200,5385.145011961145.714297,200,5397.3123834.226.79011,76,5419.22651711673.715817,200,5420.699698
5629.99667,200,5436.840654
547.671516,200,5458.634878
188.851819,200,5469.994187
1080.353268,200,5509.92519293920.438205,200,5520.04318
61061.247416,200,5544.06454572675.062904,200,5581.612682611085.760835,200,5593.71317101045.463386,200,5615.90745849183.949906,200,5645.18859276870.12177,200,5666.988563
81126.361025,200,5679.27174272800.220182,200,5702.004698981.318821,200,5702.410732
3911015.505934,200,5704.9167803.263.052545,200,5740.9279109282.587809,200,5753.86794
11196.060414,200,5777.198778
734.680829,200,5802.450974
529.347739,200,5824.099564
670.168329,200,5835.980977
224.70585,200,5872.755348
649.658188,200,5896.583491
1136.281731,200,5909.032437
326.960666,200,5945.951221
316.637646,158,5958.005819
203.45239,200,5971.142855
2251196.753187,200,5994.5064119931.011794,200,5996.11928664256.162558,200,6023.730697851175.71405,200,6045.13221464985.376873,200,6058.470175251111.210685,200,6095.96813112324.397047,183,6109.77345
9222.136585,200,6130.618812
9552.861925,200,6157.88110486320.833281,200,6179.583845251.924621,200,6192.296699
940.358808,200,6228.693366
224.676909,200,6241.94421
790.233562,200,6262.606719
229.802276,199,6277.404237
422.667072,200,6278.917463
1110.7764,200,6313.817306
1150.954291,200,6326.690101
805.083109,200,6348.181159
694.818678,200,6376.108686
168.553204,120,6387.754881
238.228052,200,6411.104959
517.695575,200,6437.566201
1197.066941,200,6461.12107
870.200829,200,6483.244178
639.300147,200,6510.486578
1046.163938,200,6533.119909
1181.211045,200,6544.400377
1186.357392,200,6569.379092
207.583783,200,6571.025015
714.08012,200,6597.721887
483.515388,200,6619.329764
910.979691,200,6631.15886
920.01294,200,6668.705135
1076.020391,200,6692.090807
971.073596,200,6704.420354
1166.26238,200,6743.27959
248.381198,200,6754.091812
715.314296,200,6777.587771
1186.416711,200,6803.821264
1086.186595,200,6827.708016
201.584222,200,6838.989547
965.423716,200,6852.129513
956.213122,200,6853.609816
237.39174,200,6888.00703
910.642219,200,6901.696694
634.802197,200,6923.656762
819.582882,200,6952.321414
674.572602,200,6972.989415
295.176051,200,6996.584574
629.512265,200,7023.322265
1181.590929,200,7047.043155
1186.332756,200,7058.476167
1075.598505,200,7097.462594
614.256404,200,7109.190803
317.869481,200,7132.651473
880.684579,200,7144.698474
1195.931995,200,7146.063089
170.158871,148,7173.189089
1181.27973,200,7185.350111
1180.956804,200,7207.375354
632.864078,200,7244.025918
412.239269,200,7257.838597
1176.242654,200,7278.463961
584.51163,200,7305.811336
180.630212,200,7329.380135
1025.567715,200,7343.05938
428.959295,200,7379.145565
538.150929,200,7400.408801
1060.925471,200,7414.080614
581.923037,200,7426.442767
925.634095,181,7427.668687
655.175014,200,7464.019233
292.264475,119,7475.312198
444.241433,200,7488.601541
421.919105,200,7525.262359
182.176575,200,7537.441705
1196.453641,200,7560.458932
1020.858015,200,7589.346829
900.198265,200,7611.362178
1046.047679,200,7634.80027
674.245079,200,7662.824504
1196.171702,200,7685.787616
347.049898,200,7696.705203
895.051492,200,7720.805931
325.338814,200,7722.144851
679.742089,200,7723.507641
780.03489,200,7749.954551
1045.509058,200,7771.655113
1151.220133,200,7793.745064
165.141116,53,7810.676474
227.016192,200,7833.769144
1195.760192,200,7845.899029
1069.998625,200,7885.691269
759.768786,200,7896.804791
287.738138,200,7919.668056
303.296483,200,7932.032567
1196.280074,200,7969.841519
1196.916881,200,7980.831834
819.82017,200,8005.021183
635.678723,188,8006.765977
176.345576,164,8008.009654
328.108803,66,8035.489619
187.957544,200,8045.642642
226.356917,200,8067.160602
312.900985,200,8080.12489
528.218547,200,8117.250959
1006.033919,200,8130.32372
1075.731661,200,8152.069098
312.186348,200,8180.58517
916.470693,200,8201.164931
900.242255,200,8225.666417
975.379213,200,8251.533871
1100.653782,200,8275.106566
1110.970065,200,8286.422134
817.589578,168,8298.857295
736.130041,135,8299.972949
402.208459,159,8316.192032
353.825388,200,8338.005148
930.41349,200,8361.165992
181.295657,200,8385.520027
1196.877826,200,8408.672227
1191.468691,200,8419.088338
504.170895,200,8456.416403
175.089037,4930.383012,200,1115.705389,200,8481.282077
740.137337,200,8492.982512
613.950699,200,8531.477619
328.849887,200,8541.922537
1186.13885,200,8565.69506
409.271052,200,8579.516584
429.429253,88,8580.129833
702.975684,138,8605.750363
229.926144,200,8618.170874
76.613635,29,8618.42510434316.334952,200,8640.03660670729.566229,200,8676.698627591175.503079,200,8689.2011118559.067147,200,8713.03385
4250.694854,200,8737.867305
864.988602,200,8760.452893
880.379368,200,8773.77415
723.873865,200,8796.779036
1186.374453,200,8824.153492
108.041141.4750204.162754,20564.697263.4056513.145659,1165.803461,200,8534.678009,200,8871.531499
266.995733755.603733,200,88592.504589,194.403367,200,89580.104302,1195.840518,200,8922.138668
1156.237563,200,8946.234218
184.950627,200,8971.475337
1045.286452,200,8995.691638
1165.929039,200,9006.977402
227.312377,200,9046.158007
884.725607,200,9056.621315
955.867654,200,9081.631166
684.29616,200,9117.985457
660.021998,198,9130.204918
1197.027214,200,9152.194441
980.387067,200,9154.602313
942.722453,167,9155.961187
946.118433,200,9190.786252
1075.973581,200,9204.892829
759.938554,200,9226.570044
1151.752322,200,9253.425081
1121.010408,200,9274.300587
504.491293,200,9298.37328
668.9497,200,9323.112412
217.544704,200,9346.088229
1175.851184,200,9357.950186
409.168781,200,9395.385804
1196.251286,200,9406.693222
609.060286,176,9428.747494
848.429024,174,9442.018743
151.212554,101,9442.773913
746.99423,178,9459.544897
282.187407,200,9482.322514
357.396109,200,9505.485842
1161.484823,200,9531.232994
1080.683361,200,9554.765643
1181.254084,200,9565.470764
1151.248382,200,9603.390629
1070.629935,200,9615.29149
901.185699,200,9639.133174
226.738003,200,9661.387506
1060.999143,200,9686.389246
1020.956099,200,9710.155802
1131.13898,200,9722.847128
84.049164,42,9732278.1576815.165451,200,9734.876.7737865.310324,200,9749.010569
533.972521,166,97820.065194554.726849,200,978602.10962,995.907064,200,98182.588354,72.452688,81,9819470.87685895.205064,200,91191.718673,1076.11738,200,981196.800207759.523962,200,9891081.42283223.005931,200,9905.85494
774.708556,200,9929.681776
422.445532,200,9963.333952
287.679802,200,9975.973278
845.89436,200,9997.990088
258.244977,200,10012.095
910.061538,200,10013.740886
618.47876,200,10050.236339
365.044879,94,10051.041523
750.424876,200,10075.154513
