#{"t_start": 1665999333.152304, "env_id": "CustomMyoChallengeBaodingP1-v1"}
r,l,t
1116.096939,200,17.5997061111176.264817,200,47.229081161015.911982,200,63.67711111091.034253,200,102.8441111171.139812,200,118.51099911930.766489,200,147.841633111105.925059,200,177.226176861095.898021,200,203.974641196.260012,200,232.209512
11120.982197,200,261.983518
11080.819494,200,289.325139
1111186.263587,200,306.81791610965.088505,200,321.911315111186.172966,200,323.0345156341.520883,200,362.03611001111096.014935,200,378.3103101166.074935,200,406.251031111186.24786,200,433.957114191081.106833,200,463.76457591191.324754,200,478.5511181950.927311,200,521.6150850991166.148547,200,548.13119110500.081115,200,564.912111111176.235373,200,604.399505.11131.12686,200,620.2131191.1186.216078,200,650.121191.1850.136172,200,665.0743021156.237183,200,665.77421100396.570923,200,694.6729990.1055.772469,200,724.36346.43688.402295,159,740.021055.71196.124645,200,767.091150.91181.077088,200,796.11171.091186.34873,200,826.651186.21136.068013,200,853.51940.461141.14572,200,882.711066.01141.282831,200,898.521161.1176.282,200,939.85223
11035.705446,200,955.444161
11101.051559,200,985.446188
11171.29081,200,999.4450911289.9514.608061,200,1001.398835.6215.970572,200,1043.1961131.1156.065042,200,1058.8251191.1096.030165,200,1086.9501191.1161.088017,200,1114.95811561131.090246,200,1145.781010451120.955689,200,1160.68001141130.967396,200,1200.843001161191.171789,200,1230.64781114970.587122,200,1245.820491136.060881,200,1274.941171.31015.840952,200,1301.511156.1945.696765,200,1318.4131166.1176.129861,200,1346.349963
3484.26786,169,1347.9686531.1136.200705,200,1375.98795.911025.834055,200,1405.61151.111171.617327,200,1421.11165.91948.681078,195,1461.8869.9311186.205161,200,1478.558413
91161.085598,200,1506.294722111035.672863,200,1535.033579101121.320387,200,1564.36769411965.786681,200,1581.073488
1642.636549,186,1620.676018
11141.267975,200,1636.789615111166.109506,200,1663.9699461111.082363,200,1679.456964
4734.13528,200,1681.452219
1341.355288,200,1721.762304
1181.339551,200,1738.638541
1186.329668,200,1763.916377
1025.826801,200,1794.714701
1040.864708,200,1824.008812
1181.12816,200,1850.746338
1176.084791,200,1879.710704111181.173602,200,1896.339309111176.099319,200,1922.84923
11181.256655,200,1965.005832111160.892204,200,1981.5902
981.14641,200,2007.527316
1171.05607,200,2023.536549
496.738574,177,2024.899296
1131.088015,200,2054.03151
