#{"t_start": 1667082289.125519, "env_id": "CustomMyoChallengeBaodingP2-v1"}
r,l,t
578.274016,200,765.939358
553.452346,200,766.956233
189.593574,200,768.060195
445.279027,200,769.094122
199.144082,200,770.276402
1065.683728,200,771.331554
30.462666,34,771.502892
508.674709,200,772.697449
724.634097,200,773.902992
519.395242,200,774.889901
104.703388,116,775.574537
343.090002,136,776.42979
1020.995869,200,777.710756
949.849549,200,778.884002
445.456818,120,779.63967
293.423885,77,780.105587
1171.178984,200,781.277521
25.674631,29,781.441888
995.387418,200,782.607028
734.707476,200,783.700448
483.877702,155,784.591587
438.935863,200,785.779337
86.972235,50,786.107602
493.19441,200,787.416332
987.069837,200,788.690716
855.318577,200,1543.878736
1020.043009,200,1545.204851
759.366477,200,1546.327756
477.329764,149,1547.190827
629.621876,200,1548.310157
26.662832,31,1548.48731
713.764824,200,1549.653487
177.231073,82,1550.124408
1034.481413,200,1551.276603
49.066151,53,1551.573514
506.474006,152,1552.500718
1046.140488,200,1553.600987
1062.003759,200,1554.710934
334.955733,181,1555.648084
190.305451,121,1556.27422
749.40116,200,1557.436516
739.800951,200,1558.580122
119.365377,126,1559.302145
44.554049,49,1559.586956
202.746158,200,1560.729724
330.105031,200,1561.8925
669.929417,200,1563.068661
194.305441,200,1564.405569
222.751735,200,1565.58655
955.87126,200,1566.725141
609.560246,200,2326.329884
1020.264883,200,2327.429935
1014.960149,200,2328.512768
294.614427,200,2329.674008
115.921279,127,2330.394489
96.215552,104,2331.002137
1046.395872,200,2332.073627
85.656756,92,2332.517843
608.470088,200,2333.658921
411.616016,200,2334.840375
959.194512,200,2335.97323
895.228452,200,2337.097757
353.879275,200,2338.18557
381.981582,200,2339.172263
29.310625,34,2339.338027
319.116763,200,2340.349315
744.808376,200,2341.342847
526.874713,200,2342.288179
230.836584,112,2342.960122
206.370989,200,2344.071163
236.864609,169,2344.954991
655.615878,194,2346.00997
45.061267,50,2346.260966
914.755979,200,2347.252448
670.005901,200,2348.304872
544.530943,200,3105.030164
790.546041,200,3106.1343
1070.755529,200,3107.276315
116.859279,128,3107.947486
809.459334,200,3109.252403
416.1726,121,3109.92989
1167.468368,200,3111.052103
32.261522,36,3111.26669
574.085601,200,3112.376724
905.520368,200,3113.557021
38.804172,43,3113.813787
194.662092,200,3114.876046
60.682153,67,3115.239907
474.168144,200,3116.327862
269.081114,200,3117.556222
531.223224,147,3118.504161
1100.58485,200,3119.642724
559.946251,200,3121.057678
192.480074,200,3122.447208
539.443436,200,3123.668723
184.111618,200,3124.776773
915.565577,200,3126.046317
66.862079,72,3126.436311
508.880795,200,3127.523118
315.562015,200,3128.875026
27.025272,31,3888.334882
112.955766,121,3889.159824
157.37313,135,3889.997715
469.533342,104,3890.613623
461.024082,200,3892.112271
146.192993,113,3892.815405
227.944817,71,3893.284929
784.739475,200,3894.532265
64.845212,72,3894.950126
624.554014,200,3896.040886
36.746791,40,3896.298917
441.216831,200,3897.551573
1186.453162,200,3898.722189
26.1714,30,3898.887897
225.779812,200,3900.008799
814.046509,200,3901.189561
633.086257,200,3902.386692
310.191281,172,3903.410482
384.255301,140,3904.179854
192.807558,200,3905.490945
188.868531,200,3906.664927
186.570808,65,3907.082987
337.915995,176,3908.303039
769.017896,200,3909.537497
299.399608,200,3910.779073
795.069041,200,4662.773786
813.993342,200,4664.163564
835.140362,200,4665.374374
148.335543,67,4665.745395
689.747362,200,4666.918313
288.804201,200,4668.157729
504.647244,200,4669.531011
925.261942,200,4670.722061
162.735391,82,4671.230699
839.608016,200,4672.576714
1061.582442,200,4673.736966
308.330258,200,4674.881393
182.492172,161,4676.007696
729.923056,200,4677.169458
680.211848,200,4678.216202
213.725305,200,4679.456201
615.057775,200,4680.734218
88.022715,97,4681.385812
57.394138,62,4681.876553
328.541581,92,4682.516427
97.001688,106,4683.313686
1025.65485,200,4684.605584
610.711261,200,4685.793502
191.780197,200,4686.963091
875.536865,200,4688.171687
730.017782,200,5436.399037
185.05775,200,5437.906096
246.34803,200,5439.279132
82.33835,92,5439.834659
769.984526,200,5441.098758
81.007818,66,5441.45577
271.456566,168,5442.335442
112.89079,51,5442.592177
865.011813,200,5443.840699
272.813523,200,5444.989016
663.21647,200,5446.231855
251.332804,200,5447.737102
654.571121,200,5449.030152
420.91215,162,5450.08958
593.170775,200,5451.334633
383.805319,200,5452.431951
88.281405,83,5452.88651
224.211204,200,5454.004099
310.911185,152,5454.969622
614.957478,200,5456.243674
94.529045,102,5456.88055
392.294343,200,5458.031277
436.039097,146,5458.941759
194.535537,200,5460.126445
730.529735,200,5461.332875
493.541311,200,6213.07763
47.643799,52,6213.407743
804.919845,200,6214.672327
1166.306055,200,6215.888472
50.06797,56,6216.236597
105.27666,113,6216.89471
