#{"t_start": 1667164765.19705, "env_id": "CustomMyoChallengeBaodingP2-v1"}
r,l,t
729.823517,200,261.265949
169.065867,184,262.273335
155.334552,116,262.910302
173.115909,188,263.758923
452.857667,200,264.878213
1145.371709,200,265.921424
870.788287,200,266.968204
226.901585,60,267.255298
490.726605,188,268.299882
663.653133,200,269.370631
760.410077,200,270.607538
1010.938737,200,271.853405
230.146144,142,272.765043
193.55404,200,273.680489
96.756602,108,274.372806
652.179169,200,275.557762
473.565944,200,276.669144
1166.415831,200,277.887959
359.568811,200,278.976247
237.410166,200,280.048114
569.129659,200,281.107973
1061.228483,200,282.291095
487.723514,200,283.548496
829.649569,200,284.749053
619.77423.010949,200,324.45542.01857,200,578.445041
959.998035,200,579.747527
1055.768275,200,581.07855
197.976294,200,582.381713
724.850605,200,583.817219
1000.669299,200,585.142459
745.231186,200,586.539749
366.253638,200,587.908436
519.644094,200,589.263669
183.914957,200,590.673571
193.206983,200,592.081888
584.590931,200,593.315368
899.679051,200,594.688151
588.426857,200,596.040987
759.168768,200,597.373022
750.325435,200,598.669027
1075.537575,200,600.011514
921.103741,200,601.279847
1031.539027,200,602.572483
356.079779,200,603.859636
1005.427225,200,605.140846
668.082178,200,606.183776
1080.009784,200,607.524793
710.36966,200,608.938835
86.137441,96,609.655681
774.221083,200,928.343866
235.89706,200,929.870178
772.310499,199,931.369614
810.260618,200,932.866877
473.766667,200,934.46094
1059.93645,200,936.10619
1176.341585,200,937.64957
281.730473,200,939.128674
190.915501,200,940.613784
558.196887,200,942.091253
347.735146,200,943.56089
1015.737722,200,945.052677
278.061231,200,946.546282
1016.128792,200,948.05729
76.370664,86,948.716554
1126.325267,200,950.225013
654.492411,200,951.686862
517.253572,200,953.21275
279.72745,151,954.334406
487.818803,200,955.834699
703.449758,200,957.290318
703.917695,200,958.690118
1131.289696,200,960.2323
482.743238,200,961.682084
594.272157,200,963.092348
364.322763,200,1333.97138
760.473042,200,1335.069429
1060.657947,200,1336.279805
475.325877,200,1337.693623
864.698563,200,1338.937634
203.729548,200,1340.040142
349.419671,187,1341.143636
1135.997341,200,1342.159106
