#{"t_start": 1667215213.704613, "env_id": "CustomMyoChallengeBaodingP2-v1"}
r,l,t
181.559503,200,144.682802
1091.83653,200,145.492385
544.17673,200,146.273784
183.291823,200,146.971426
101.026559,82,147.268638
381.025023,200,147.981041
945.38645,200,148.672314
231.356401,164,149.236456
764.067234,200,149.933395
634.977876,200,150.67847
724.615824,200,151.412087
200.85169,172,151.998202448.1465.126099,200,192.948323.623.693153,200,194.48654861370.595862,200,195.93212918308.592495,200,211.05524825415.041089,200,212.4941717523.084257,200,213.9372
739.490286,200,228.813069
298.411369,200,230.4837
474.044388,200,265.668812
465.91144,200,278.299107
354.13072,200,279.657607
449.180264,200,280.994393
265.453.900381,200,281.955131.7125.323048,105,328.756474.9510.203671,200,330.208282.490.375089,200,331.531501.763765,200,332.446665
198.5548.779297,200,345.21244859628.889543,200,346.57291181516.931629,200,347.92770574290.301119,120,360.00616968.439317,200,361.800943
598.805965,200,363.151405
813.148986,200,364.523417
889.598962,200,376.823853
316.385041,200,378.1921439535.080616,200,379.54961832531.08131,200,428.070176
368.84043,200,429.519425
659.979808,150,430.606904
880.256735,200,445.742713
397.898632,200,482.335265
829.889151,200,483.677068
558.666865,200,496.209419
243.935187,175,497.387419.6705.020214,200,498.747388.5249.369203,200,500.120231.91009.796126,200,512.44470.46.308.372324,200,513.296492.51036.192321,200,514.21697.63482.727238,200,560.6298.174372.801284,200,561.5592.311273.731638,200,563.7849.331544,200,564.0285171167.0580.98195,200,576.473182.8694.245808,200,577.902162.8477.853168,200,579.34731.99180.347005,200,594.471080.4283.090772,146,595.544435.1620.950365,200,596.99556.551162.069209,200,598.4355.370420.911696,200,612.2680.89560.313763,200,613.56181.14221.459237,117,647.10181.5337.43807,194,693.228450.2281.137849,200,694.550328.9343.21408,200,695.86991005180.32554,200,709.490584281187.729106,200,710.83941021653.744011,200,712.19127703.40966,200,722.4872081563.93266,200,723.842781
661.397938,200,725.211938
180.761171,200,726.576232
95.14486.50944,200,740.390767.17253,200,739.54361100605.282949,200,740.86853335185.482138,200,789.55778361278.902121,200,791.01517
974.389225,200,792.472198
423.595996,200,806.711536
106.177525,87,807.339453
195.08177,200,808.793211
1192.262924,200,810.252325
496.435166,200,824.213903
731.70883,200,859.416003
356.241703,200,860.81506
524.935733,200,873.826356
614.098009,198,875.145226
864.585537,200,876.471661
744.146682,200,922.773217
440.345697,200,924.108167
563.790352,200,925.439938
406.914803,200,937.285735
303.766284,173,938.465405
638.056182,200,939.820659
294.302224,200,941.2321
180.125909,200,951.62587
651.981385,200,953.021621
569.116402,200,954.383084
814.260336,200,966.229663
204.967664,200,967.563876
764.935206,200,968.886189
325.562441,177,1018.241052
699.656791,200,1019.56465
188.129604,61,1020.01702
180.427648,200,1056.286631
